latitude,longitude,runners,trees,pedestrians
42.435,-71.068,8.0,0.0,0.0
42.376,-71.058,26.0,87.0,380.0
42.288,-71.071,645.0,8.0,0.0
42.433,-71.046,55.0,0.0,0.0
42.347,-71.13,26.0,0.0,0.0
42.292,-71.111,23.0,25.0,0.0
42.316,-71.038,42.0,13.0,0.0
42.346,-71.117,5.0,0.0,10672.0
42.36,-71.094,180.0,0.0,2586.0
42.278,-71.047,161.0,4.0,0.0
42.358,-71.18,1.0,0.0,0.0
42.258,-71.135,118.0,10.0,0.0
42.492,-70.864,11.0,0.0,0.0
42.331,-71.129,19.0,0.0,0.0
42.377,-71.08,9.0,0.0,810.0
42.349,-71.042,239.0,57.0,138.0
42.354,-71.116,1145.0,0.0,266.0
42.358,-71.138,66.0,73.0,0.0
42.346,-71.052,107.0,25.0,96.0
42.328,-71.116,944.0,0.0,6123.0
42.349,-71.075,156.0,48.0,1023.0
42.335,-71.038,60.0,3.0,18.0
42.36,-71.119,2.0,11.0,1916.0
42.459,-71.048,4.0,0.0,0.0
42.538,-71.163,1.0,0.0,0.0
42.373,-71.101,182.0,0.0,5748.0
42.394,-71.123,32.0,0.0,2344.0
42.357,-71.138,70.0,14.0,0.0
42.307,-71.123,8.0,10.0,0.0
42.288,-71.106,70.0,37.0,0.0
43.138,-71.45,1.0,0.0,0.0
42.372,-71.132,406.0,34.0,0.0
42.358,-71.125,23.0,29.0,0.0
42.302,-71.049,754.0,5.0,0.0
42.4,-71.119,6.0,0.0,2200.0
42.339,-71.057,74.0,14.0,36.0
42.392,-71.126,13.0,0.0,0.0
42.391,-71.1,2.0,0.0,2328.0
42.333,-71.112,27.0,23.0,3450.0
42.388,-71.124,3.0,0.0,1286.0
42.337,-71.108,22.0,7.0,2868.0
42.358,-71.175,46.0,0.0,0.0
42.339,-71.025,564.0,57.0,92.0
42.359,-71.115,92.0,0.0,3832.0
42.297,-71.122,220.0,2.0,0.0
42.353,-71.092,6.0,0.0,5172.0
42.371,-71.068,11.0,0.0,84.0
42.432,-71.146,5.0,0.0,0.0
42.423,-71.183,21.0,0.0,0.0
42.355,-71.145,91.0,49.0,0.0
42.367,-71.094,136.0,0.0,7758.0
42.351,-71.066,316.0,3.0,556.0
42.359,-71.072,893.0,29.0,12564.0
42.31,-71.045,792.0,12.0,0.0
42.308,-71.28,3.0,0.0,0.0
42.398,-71.108,56.0,0.0,3650.0
42.61,-71.287,1.0,0.0,0.0
42.323,-71.084,6.0,3.0,86.0
42.312,-71.106,94.0,36.0,0.0
42.363,-71.118,3212.0,10.0,1916.0
42.301,-71.055,1.0,4.0,0.0
42.327,-71.057,27.0,9.0,36.0
42.334,-71.09,7.0,18.0,258.0
42.328,-71.207,30.0,0.0,0.0
42.451,-71.138,5.0,0.0,0.0
42.368,-71.037,11.0,11.0,408.0
42.301,-71.127,32.0,13.0,0.0
42.347,-71.112,1.0,0.0,12114.0
42.327,-71.236,25.0,0.0,0.0
42.494,-71.133,2.0,0.0,0.0
42.342,-71.048,8.0,2.0,36.0
