latitude,longitude,frequency
42.349,-71.102,20
42.3345,-71.092,20
42.3505,-71.107,20
42.3605,-71.126,20
42.3365,-71.1025,20
42.3385,-71.017,20
42.3525,-71.1205,20
42.317,-71.0635,20
42.273,-71.1145,20
42.345,-71.079,20
42.332,-71.0795,20
42.3895,-71.0125,20
42.2805,-71.127,20
42.3175,-71.039,20
42.2955,-71.104,20
42.3525,-71.077,20
42.355,-71.138,20
42.297,-71.046,20
42.316,-71.0945,20
42.324,-71.0865,20
42.3755,-71.0375,20
42.348,-71.167,20
42.295,-71.099,20
42.287,-71.108,20
42.318,-71.038,20
42.3205,-71.1025,20
42.3345,-71.07,20
42.348,-71.1045,20
42.355,-71.1565,20
42.3675,-71.0215,20
42.3885,-70.9985,20
42.3595,-71.1365,20
42.323,-71.072,20
42.365,-71.1215,20
42.358,-71.0665,20
42.358,-71.129,20
42.3115,-71.0115,20
42.367,-71.122,20
42.286,-71.103,20
42.3205,-71.043,20
42.37,-71.0615,20
42.363,-71.1305,20
42.296,-71.047,20
42.3685,-71.041,20
42.2975,-71.1295,20
42.3825,-71.068,20
42.313,-71.121,20
42.381,-71.0255,20
42.3675,-71.0665,20
42.3095,-71.0455,20
42.3115,-71.127,20
42.2935,-71.108,20
42.3585,-71.1465,20
42.3455,-71.0785,20
42.3745,-71.0665,20
42.2695,-71.11,20
42.2955,-71.089,20
42.2585,-71.1305,20
42.321,-71.0435,20
42.3095,-71.1315,20
42.2765,-71.101,20
42.358,-71.1375,20
42.362,-71.072,20
42.3335,-71.0985,20
42.2965,-71.1755,20
42.2975,-71.128,20
42.3105,-71.126,20
42.3555,-71.076,20
42.3615,-71.1345,20
42.374,-71.0675,20
42.275,-71.121,20
42.36,-71.146,20
42.291,-71.147,20
42.319,-71.042,20
42.2785,-71.054,20
42.3705,-71.0365,20
42.3015,-71.106,20
42.3555,-71.0765,20
42.359,-71.0635,20
42.362,-71.135,20
42.3555,-71.138,20
42.364,-71.0655,20
42.294,-71.098,20
42.361,-71.0525,20
42.3005,-71.129,20
42.3075,-71.0965,20
42.3645,-71.138,20
42.361,-71.1295,20
42.2805,-71.0475,20
42.352,-71.054,20
42.2975,-71.047,20
42.2975,-71.125,20
42.358,-71.1235,20
42.319,-71.0655,20
42.3155,-71.1055,20
42.3155,-71.1155,20
42.2765,-71.172,20
42.24,-71.134,20
42.333,-71.1035,20
42.2605,-71.1225,20
42.326,-71.1095,20
42.297,-71.1735,20
42.3355,-71.0965,20
42.3585,-71.127,20
42.3555,-71.0715,20
42.312,-71.074,20
42.313,-71.125,20
42.3575,-71.1315,20
42.251,-71.1285,20
42.3065,-71.054,20
42.364,-71.121,20
42.248,-71.114,20
42.35,-71.0995,20
42.3605,-71.0525,20
42.3055,-71.073,20
42.2395,-71.1345,20
42.3545,-71.125,20
42.3565,-71.1515,20
42.286,-71.043,20
42.36,-71.142,20
42.3285,-71.0965,20
42.3555,-71.14,20
42.364,-71.136,20
42.334,-71.0705,20
42.332,-71.0455,20
42.339,-71.0975,20
42.292,-71.1265,20
42.311,-71.1255,20
42.3605,-71.1445,20
42.3335,-71.0795,20
42.3515,-71.1085,20
42.346,-71.0885,20
42.335,-71.0905,20
42.257,-71.129,20
42.2595,-71.16,20
42.265,-71.097,20
42.331,-71.0945,20
42.329,-71.094,20
42.339,-71.0495,20
42.3335,-71.1665,20
42.3595,-71.1405,20
42.3445,-71.081,20
42.295,-71.109,20
42.3455,-71.142,20
42.3485,-71.1735,20
42.307,-71.1275,20
42.384,-71.0115,20
42.3265,-71.0815,20
42.3525,-71.0765,20
42.2345,-71.1325,20
42.367,-71.134,20
42.3585,-71.1235,20
42.3625,-71.1335,20
42.368,-71.0655,20
42.305,-71.091,20
42.3545,-71.072,20
42.3495,-71.086,20
42.3595,-71.143,20
42.278,-71.126,20
42.2755,-71.103,20
42.274,-71.061,20
42.3465,-71.1545,20
42.3745,-71.0525,20
42.365,-71.0665,20
42.346,-71.06,20
42.3435,-71.149,20
42.3605,-71.145,20
42.36,-71.1345,20
42.3355,-71.091,20
42.338,-71.158,20
42.362,-71.143,20
42.3605,-71.1365,20
42.3345,-71.0915,20
42.3625,-71.133,20
42.3465,-71.0615,20
42.2845,-71.1025,20
42.307,-71.12,20
42.278,-71.1675,20
42.285,-71.1005,20
42.2935,-71.149,20
42.3115,-71.052,20
42.3635,-71.141,20
42.3605,-71.1335,20
42.2755,-71.121,20
42.3595,-71.1295,20
42.334,-71.092,20
42.307,-71.071,20
42.3335,-71.1125,20
42.3295,-71.0965,20
42.295,-71.129,20
42.35,-71.0985,20
42.358,-71.1365,20
42.2735,-71.0615,20
42.3615,-71.1315,20
42.338,-71.1685,20
42.3405,-71.095,20
42.3435,-71.098,20
42.345,-71.0825,20
42.3605,-71.1325,20
42.3115,-71.0745,20
42.2745,-71.0825,20
42.281,-71.108,20
42.372,-71.0335,20
42.352,-71.0815,20
42.2785,-71.1375,20
42.2975,-71.091,20
42.3585,-71.1255,20
42.2945,-71.125,20
42.301,-71.1145,20
42.311,-71.0495,20
42.3775,-71.0405,20
42.2745,-71.082,20
42.3605,-71.1215,20
42.3585,-71.1455,20
42.347,-71.149,20
42.3755,-71.072,20
42.3685,-71.0385,20
42.3285,-71.0885,20
42.307,-71.0965,20
42.2805,-71.106,20
42.3755,-71.0305,20
42.278,-71.1045,20
42.3815,-71.0685,20
42.3665,-71.1335,20
42.272,-71.137,20
42.358,-71.052,20
42.3685,-71.0405,20
42.2325,-71.134,20
42.359,-71.0695,20
42.354,-71.125,20
42.321,-71.0445,20
42.3375,-71.095,20
42.336,-71.085,20
42.344,-71.15,20
42.3635,-71.138,20
42.347,-71.1535,20
42.3735,-71.0515,20
42.351,-71.081,20
42.3535,-71.0725,20
42.29,-71.17,20
42.295,-71.123,20
42.287,-71.18,20
42.3205,-71.0415,20
42.3145,-71.122,20
42.3575,-71.13,20
42.3115,-71.1155,20
42.362,-71.1355,20
42.3675,-71.119,20
42.3575,-71.1355,20
42.3555,-71.157,20
42.3545,-71.053,20
42.3585,-71.0515,20
42.274,-71.0845,20
42.354,-71.1265,20
42.3765,-71.0355,20
42.292,-71.1085,20
42.318,-71.039,20
42.338,-71.094,20
42.36,-71.132,20
42.3495,-71.0425,20
42.3605,-71.1435,20
42.36,-71.1395,20
42.375,-71.031,19
42.358,-71.134,19
42.388,-70.997,19
42.2905,-71.092,19
42.295,-71.125,19
42.348,-71.0365,19
42.297,-71.116,19
42.338,-71.056,19
42.2935,-71.125,19
42.279,-71.0575,19
42.3035,-71.087,19
42.2775,-71.1735,19
42.361,-71.131,19
42.352,-71.0775,19
42.3585,-71.1315,19
42.3745,-71.052,19
42.3,-71.1165,19
42.361,-71.1455,19
42.2985,-71.0875,19
42.336,-71.0595,19
42.289,-71.0795,19
42.3725,-71.03,19
42.2835,-71.0835,19
42.357,-71.1365,19
42.3505,-71.06,19
42.303,-71.0885,19
42.3615,-71.134,19
42.321,-71.043,19
42.3675,-71.131,19
42.321,-71.0895,19
42.2845,-71.182,19
42.3305,-71.1065,19
42.34,-71.05,19
42.378,-71.0355,19
42.3145,-71.123,19
42.3105,-71.0135,19
42.3615,-71.13,19
42.316,-71.127,19
42.3535,-71.047,19
42.2795,-71.0675,19
42.352,-71.1115,19
42.2595,-71.154,19
42.327,-71.098,19
42.3655,-71.1345,19
42.273,-71.0955,19
42.3205,-71.097,19
42.301,-71.087,19
42.3135,-71.034,19
42.3645,-71.1225,19
42.313,-71.016,19
42.3135,-71.069,19
42.3325,-71.0935,19
42.3485,-71.166,19
42.3455,-71.076,19
42.3445,-71.0755,19
42.3595,-71.126,19
42.2995,-71.087,19
42.318,-71.117,19
42.324,-71.099,19
42.2945,-71.1055,19
42.3605,-71.135,19
42.3315,-71.155,19
42.277,-71.0965,19
42.298,-71.089,19
42.285,-71.1685,19
42.354,-71.143,19
42.3415,-71.092,19
42.3755,-71.058,19
42.26,-71.1535,19
42.2915,-71.0575,19
42.3045,-71.0895,19
42.354,-71.0715,19
42.317,-71.0765,19
42.359,-71.1295,19
42.243,-71.127,19
42.337,-71.0975,19
42.3085,-71.112,19
42.2955,-71.1765,19
42.358,-71.141,19
42.342,-71.103,19
42.293,-71.112,19
42.3385,-71.0165,19
42.3565,-71.152,19
42.3215,-71.088,19
42.3605,-71.1425,19
42.3495,-71.092,19
42.3595,-71.141,19
42.3805,-71.0685,19
42.3605,-71.0715,19
42.3705,-71.0435,19
42.353,-71.045,19
42.3035,-71.088,19
42.2655,-71.163,19
42.2865,-71.061,19
42.382,-71.072,19
42.3075,-71.11,19
42.319,-71.095,19
42.292,-71.1745,19
42.3935,-71.008,19
42.3045,-71.091,19
42.322,-71.051,19
42.2485,-71.125,19
42.2865,-71.083,19
42.3,-71.0895,19
42.3835,-71.034,19
42.354,-71.069,19
42.342,-71.104,19
42.36,-71.13,19
42.2915,-71.12,19
42.3415,-71.099,19
42.3205,-71.049,19
42.273,-71.1375,19
42.3315,-71.103,19
42.355,-71.1315,19
42.323,-71.09,19
42.3735,-71.0355,19
42.342,-71.0935,19
42.3575,-71.0225,19
42.3265,-71.0855,19
42.332,-71.08,19
42.3575,-71.0515,19
42.298,-71.144,19
42.3505,-71.108,19
42.295,-71.0995,19
42.367,-71.124,19
42.2635,-71.1045,19
42.291,-71.1115,19
42.271,-71.0915,19
42.307,-71.11,19
42.3465,-71.1525,19
42.288,-71.0485,19
42.3635,-71.1425,19
42.326,-71.1025,19
42.274,-71.0835,19
42.3885,-70.998,19
42.299,-71.087,19
42.3495,-71.1035,19
42.3385,-71.016,19
42.343,-71.095,19
42.293,-71.126,19
42.2435,-71.127,19
42.2785,-71.176,19
42.3615,-71.133,19
42.3545,-71.1295,19
42.3635,-71.064,19
42.3585,-71.1365,19
42.3155,-71.0335,19
42.3715,-71.059,19
42.355,-71.132,19
42.3485,-71.041,19
42.294,-71.171,19
42.376,-71.057,19
42.2775,-71.1205,19
42.367,-71.0655,19
42.317,-71.092,19
42.358,-71.067,19
42.357,-71.142,19
42.3565,-71.131,19
42.334,-71.103,19
42.2845,-71.041,19
42.3405,-71.0995,19
42.2945,-71.1715,19
42.3595,-71.135,19
42.257,-71.127,19
42.334,-71.0925,19
42.345,-71.058,19
42.3435,-71.1495,19
42.3605,-71.0675,19
42.2775,-71.056,19
42.3615,-71.1305,19
42.3595,-71.136,19
42.339,-71.0705,19
42.3375,-71.1055,19
42.3615,-71.071,19
42.363,-71.14,19
42.382,-71.075,19
42.3565,-71.1305,19
