latitude,longitude,frequency,logFreq
42.354,-71.0989,3644,3.561578368
42.348,-71.1004,3643,3.561459171
42.354,-71.1009,3643,3.561459171
42.349,-71.1024,3639,3.560982056
42.3255,-71.0974,3632,3.56014584
42.3525,-71.1029,3617,3.558348509
42.35,-71.0919,3606,3.557025722
42.3495,-71.1029,3602,3.556543708
42.3505,-71.0924,3599,3.556181847
42.3485,-71.1019,3596,3.555819683
42.3495,-71.1134,3586,3.554610285
42.351,-71.1034,3585,3.55448916
42.348,-71.1094,3585,3.55448916
42.326,-71.0989,3583,3.554246808
42.348,-71.1119,3577,3.55351894
42.348,-71.1009,3573,3.553033016
42.3505,-71.1034,3565,3.552059534
42.3515,-71.1034,3565,3.552059534
42.3505,-71.1074,3551,3.550350672
42.3635,-71.0719,3544,3.549493713
42.354,-71.0984,3539,3.548880563
42.351,-71.0929,3534,3.548266545
42.354,-71.1014,3529,3.547651658
42.3485,-71.1084,3524,3.5470359
42.353,-71.0879,3518,3.546295835
42.35,-71.1074,3517,3.546172368
42.353,-71.0969,3516,3.546048866
42.349,-71.1079,3515,3.545925329
42.35,-71.1034,3510,3.545307116
42.352,-71.1034,3508,3.545059585
42.3535,-71.0974,3499,3.543943942
42.348,-71.1014,3482,3.541828767
42.3535,-71.1024,3469,3.5402043
42.353,-71.1029,3469,3.5402043
42.35,-71.0924,3459,3.538950562
42.3505,-71.0929,3450,3.537819095
42.348,-71.1089,3448,3.537567257
42.3485,-71.1129,3443,3.536937023
42.3585,-71.0729,3426,3.534787359
42.3495,-71.0919,3425,3.534660576
42.354,-71.0979,3424,3.534533756
42.3545,-71.0999,3420,3.534026106
42.3525,-71.1034,3419,3.533899101
42.3585,-71.0724,3417,3.533644979
42.351,-71.1039,3410,3.532754379
42.351,-71.0934,3408,3.532499586
42.3545,-71.0994,3405,3.532117116
42.354,-71.1019,3401,3.531606632
42.3545,-71.1004,3401,3.531606632
42.3505,-71.1039,3399,3.531351165
42.3475,-71.1104,3395,3.530839779
42.3515,-71.1039,3392,3.530455844
42.3475,-71.1109,3387,3.529815197
42.3505,-71.1069,3383,3.529301998
42.353,-71.0964,3380,3.5289167
42.348,-71.1124,3380,3.5289167
42.349,-71.1134,3377,3.528531061
42.352,-71.0874,3369,3.527501011
42.325,-71.0994,3367,3.527243116
42.3535,-71.0969,3366,3.527114112
42.3545,-71.0989,3360,3.526339277
42.3505,-71.1139,3359,3.526210004
42.3475,-71.1099,3358,3.526080692
